background_id,file,lat,long,location_key,scene_set_id,place_name,region,state_or_country,habitat,elevation_m,climate_notes,where_we_are,notable_features,status,notes
az_hwy93,AZ_HWY93.webp,34.270170,-113.092278,us93_yavapai_850m,az_hwy93,US Highway 93 (central Arizona),"Yavapai County, central Arizona high desert",Arizona USA,High-desert highway corridor through Sonoran desert scrub and open basins,853,Semi-arid; hot summers; mild winters; summer monsoon thunderstorms; low annual rainfall.,We are along US Highway 93 in central Arizona in Yavapai County at about 850 meters elevation.,Wickenburg–Kingman Highway corridor; wide desert valleys; distant ranges; open creosote–bursage scrub.,ready,Coords: N34.270170 W113.092278 (OSM: US 93 / Wickenburg–Kingman Hwy Yavapai Co.).
az_hwy93a,AZ_HWY93a.webp,34.270170,-113.092278,us93_yavapai_850m,az_hwy93a,Joshua Tree stand (US Hwy 93 view),"Yavapai County, Mojave-Sonoran transition",Arizona USA,Desert scrub with Joshua tree (Yucca brevifolia) at Mojave-Sonoran ecotone,853,Semi-arid; hot summers; mild winters; monsoon influence; Mojave-Sonoran transition zone.,We are in central Arizona near US Highway 93 in Yavapai County at about 850 meters elevation among Joshua trees.,Joshua tree (Yucca brevifolia) woodland-scrub; transition between Mojave and Sonoran floristic provinces; wide valleys.,ready,Same location_key as az_hwy93; different background view (AZ_HWY93a.webp). Coords: N34.270170 W113.092278.
hwy191,HWY191_Campground.webp,33.295233,-109.36041,hwy191_granville_1900m,hwy191,US Highway 191 (Coronado Trail) near Granville,"Greenlee County, White Mountains–Apache Highlands",Arizona USA,Campground and picnic corridor in ponderosa pine–oak woodland along US 191,1904,High-elevation semi-arid; cold winters; warm dry late spring–early summer; monsoon thunderstorms Jul–Sep.,We are beside the Coronado Trail (US Highway 191) near Granville in Greenlee County eastern Arizona at about 1900 meters elevation.,Coronado Trail scenic byway; Granville recreation area; ponderosa pine and oak woodland; mountain drainages; Apache–Sitgreaves National Forests.,ready,Coords: N33.295233 W109.36041 (OSM: Coronado Trail at Granville).
la_madera,La_Madera_Ranch.webp,36.391763,-106.034747,la_madera_tusas_2050m,la_madera,La Madera Ranch,"Tusas Valley, Rio Arriba County, northern New Mexico",New Mexico USA,Mountain valley ranchland; mixed conifer on mesas and scarps,2056,Cool montane; summer thunderstorms; long cold season; dry shoulder seasons.,We are in the La Madera area of the Tusas Valley in Rio Arriba County northern New Mexico near Kit Carson National Forest at about 2050 meters elevation.,Volcanic mesas and scarps; Rio Tusas drainage; ponderosa and mixed conifer slopes; rural ranch valley (historic lumber country).,ready,Coords: N36.391763 W106.034747 (near Petaca / NM 519; La Madera CDP).
whitewater,Whitewater_CA.webp,33.98483,-116.660722,whitewater_pass_777m,whitewater,Whitewater Canyon,"San Gorgonio Pass, Riverside County",California USA,Canyon and alluvial-fan desert scrub at the desert–mountain pass,777,Hot arid summers; mild winters; low rainfall; strong wind corridor through San Gorgonio Pass.,We are in Whitewater Canyon at the San Gorgonio Pass in Riverside County southern California below 800 meters elevation.,Whitewater Canyon; Pacific Crest Trail–Whitewater Canyon Road; wind-exposed pass; desert scrub and rocky fan; Coachella Valley margin.,ready,Coords: N33.98483 W116.660722 (OSM: PCT–Whitewater Canyon Road).
vla,VLA.webp,34.100675,-107.598236,vla_san_agustin_2124m,vla,"Very Large Array, Highway 60","Plains of San Agustin, Catron County",New Mexico USA,High-desert grassland and shrubland in broad intermountain basin,2124,Semi-arid; cool winters; warm summers; summer monsoon; high elevation plains.,We are on the Plains of San Agustin along US Highway 60 in Catron County west-central New Mexico at about 2100 meters elevation.,Very Large Array radio telescope facility; wide grassland basin; distant ranges; San Agustin Plains; continental-divide country.,ready,Coords: N34.100675 W107.598236 (OSM: VLA / NM Hwy 60).
burn1,Burn1.webp,34.532784,-113.141605,bagdad_burn_1250m,burn1,Burned landscape near Bagdad,"Yavapai County, north-central Arizona",Arizona USA,Post-fire high-desert scrub and recovering shrubland,1250,Semi-arid; hot summers; mild winters; fire-prone chaparral and scrub.,We are near Bagdad in north-central Arizona Yavapai County at about 1250 meters elevation in a burned landscape.,Recent wildfire burn scar; regenerating desert scrub and chaparral; blackened soil; Highway 96 corridor.,draft,Coords: N34.532784 W113.141605 (near Bagdad / AZ Hwy 96). Foreground art pending.
burn2,Burn2.webp,34.532784,-113.141605,bagdad_burn_1250m,burn2,Arizona Highway 96 near Bagdad (burned area),"Yavapai County, north-central Arizona",Arizona USA,Post-fire desert scrub and chaparral recovery zone,1250,Semi-arid; hot summers; mild winters; fire-adapted vegetation recovering.,We are along Arizona Highway 96 near Bagdad in Yavapai County at about 1250 meters elevation in fire-affected terrain.,Highway 96 corridor; wildfire recovery area; blackened slopes; regenerating shrubs; Bagdad copper-mining district vicinity.,draft,Same location_key as burn1; different background view. Foreground art pending.
gila_river,Gila_River.webp,32.965022,-109.309854,gila_river_1097m,gila_river,Gila River corridor,"Greenlee County, southeastern Arizona",Arizona USA,Riparian corridor and alluvial terraces along the Gila River,1097,Semi-arid; hot summers; mild winters; riparian microclimate; summer monsoon.,We are along the Gila River in Greenlee County southeastern Arizona at about 1100 meters elevation.,Gila River riparian zone; cottonwood-willow gallery; agricultural valley; Box Canyon and Safford Valley region.,ready,Coords: N32.965022 W109.309854 (Gila River corridor).
mescalero_sand,Mescalero_Sand_Dunes.webp,33.417127,-103.821873,mescalero_dunes_1280m,mescalero_sand,Mescalero Sand Dunes,"Roosevelt County, eastern New Mexico",New Mexico USA,Active gypsum sand dunes in high plains,1280,Semi-arid high plains; hot summers; cold winters; strong winds; low rainfall.,We are at the Mescalero Sand Dunes in Roosevelt County eastern New Mexico at about 1280 meters elevation.,Active gypsum sand-dune field; high plains; stark white dunes; sparse vegetation; remote eastern New Mexico.,ready,Coords: N33.417127 W103.821873 (Mescalero Sands).
valley_of_fires1,Valley_of_Fires1.webp,33.674731,-105.930345,valley_of_fires_1372m,valley_of_fires1,Valley of Fires (view 1),"Tularosa Basin, Lincoln County",New Mexico USA,Recent basaltic lava flow (malpais) with desert scrub margins,1372,Semi-arid basin; hot summers; mild winters; low rainfall; stark volcanic terrain.,We are at the Valley of Fires lava flow in Lincoln County central New Mexico at about 1370 meters elevation.,Valley of Fires Recreation Area; young basalt malpais (Carrizozo lava flow ca. 5000 years old); black lava field; US Highway 380.,ready,Coords: N33.674731 W105.930345. Background view 1.
valley_of_fires2,Valley_of_Fires2.webp,33.674731,-105.930345,valley_of_fires_1372m,valley_of_fires2,Valley of Fires (view 2),"Tularosa Basin, Lincoln County",New Mexico USA,Recent basaltic lava flow (malpais) with desert scrub margins,1372,Semi-arid basin; hot summers; mild winters; low rainfall; stark volcanic terrain.,We are at the Valley of Fires lava flow in Lincoln County central New Mexico at about 1370 meters elevation.,Valley of Fires Recreation Area; young basalt malpais; black lava ridges and desert scrub margins.,ready,Same location_key as valley_of_fires1; background view 2.
valley_of_fires3,Valley_of_Fires3.webp,33.674731,-105.930345,valley_of_fires_1372m,valley_of_fires3,Valley of Fires (view 3),"Tularosa Basin, Lincoln County",New Mexico USA,Recent basaltic lava flow (malpais) with desert scrub margins,1372,Semi-arid basin; hot summers; mild winters; low rainfall; stark volcanic terrain.,We are at the Valley of Fires lava flow in Lincoln County central New Mexico at about 1370 meters elevation.,Valley of Fires Recreation Area; malpais and sparse desert vegetation on lava.,ready,Same location_key; background view 3.
valley_of_fires4,Valley_of_Fires4.webp,33.674731,-105.930345,valley_of_fires_1372m,valley_of_fires4,Valley of Fires (view 4),"Tularosa Basin, Lincoln County",New Mexico USA,Recent basaltic lava flow (malpais) with desert scrub margins,1372,Semi-arid basin; hot summers; mild winters; low rainfall; stark volcanic terrain.,We are at the Valley of Fires lava flow in Lincoln County central New Mexico at about 1370 meters elevation.,Valley of Fires Recreation Area; expansive black lava field and basin sky.,ready,Same location_key; background view 4.
gravel_quarry,Gravel_Quarry.webp,32.878007,-109.386008,gravel_quarry_1050m,gravel_quarry,Gravel quarry (southeastern Arizona),"Greenlee or Graham County, southeastern Arizona",Arizona USA,Disturbed desert scrub and gravel extraction site,1050,Semi-arid; hot summers; mild winters; monsoon thunderstorms; sparse vegetation.,We are at a gravel quarry in southeastern Arizona near the Gila Valley at about 1050 meters elevation.,Active or abandoned gravel quarry; exposed substrate; industrial disturbance; sparse desert scrub recovery.,ready,Coords: N32.878007 W109.386008 (quarry site SE Arizona).
casa_grande,Casa_Grande.webp,32.879500,-111.757300,casa_grande_426m,casa_grande,Casa Grande,"Pinal County, south-central Arizona",Arizona USA,Desert scrub and agricultural valley floor near Sonoran Desert margin,426,Hot arid summers; mild winters; low rainfall; intense summer monsoon thunderstorms.,We are near Casa Grande in Pinal County south-central Arizona below 450 meters elevation.,Sonoran Desert scrub; agricultural fields; distant ranges; Interstate 10 corridor; Casa Grande Ruins National Monument region.,ready,Coords: N32.879500 W111.757300 (Casa Grande area).
